;;;;;;;;;;;;;x,,
trade_deal_cleanup_title;Tradedeal Cleanup;x
trade_deal_cleanup_desc;Clean up the tradedeals;x
oil_1_settlement_title;Oil Settlement;x
oil_2_settlement_title;Oil Settlement;x
oil_3_settlement_title;Oil Settlement;x
oil_4_settlement_title;Oil Settlement;x
oil_5_settlement_title;Oil Settlement;x
oil_6_settlement_title;Oil Settlement;x
oil_7_settlement_title;Oil Settlement;x
oil_8_settlement_title;Oil Settlement;x
oil_9_settlement_title;Oil Settlement;x
oil_10_settlement_title;Oil Settlement;x
oil_11_settlement_title;Oil Settlement;x
oil_12_settlement_title;Oil Settlement;x
oil_13_settlement_title;Oil Settlement;x
oil_14_settlement_title;Oil Settlement;x
oil_15_settlement_title;Oil Settlement;x
oil_1_settlement_desc;Settle the oil.;x
oil_2_settlement_desc;Settle the oil.;x
oil_3_settlement_desc;Settle the oil.;x
oil_4_settlement_desc;Settle the oil.;x
oil_5_settlement_desc;Settle the oil.;x
oil_6_settlement_desc;Settle the oil.;x
oil_7_settlement_desc;Settle the oil.;x
oil_8_settlement_desc;Settle the oil.;x
oil_9_settlement_desc;Settle the oil.;x
oil_10_settlement_desc;Settle the oil.;x
oil_11_settlement_desc;Settle the oil.;x
oil_12_settlement_desc;Settle the oil.;x
oil_13_settlement_desc;Settle the oil.;x
oil_14_settlement_desc;Settle the oil.;x
oil_15_settlement_desc;Settle the oil.;x
coal_1_settlement_title;coal Settlement;x
coal_2_settlement_title;coal Settlement;x
coal_3_settlement_title;coal Settlement;x
coal_4_settlement_title;coal Settlement;x
coal_5_settlement_title;coal Settlement;x
coal_6_settlement_title;coal Settlement;x
coal_7_settlement_title;coal Settlement;x
coal_8_settlement_title;coal Settlement;x
coal_9_settlement_title;coal Settlement;x
coal_10_settlement_title;coal Settlement;x
coal_11_settlement_title;coal Settlement;x
coal_12_settlement_title;coal Settlement;x
coal_13_settlement_title;coal Settlement;x
coal_14_settlement_title;coal Settlement;x
coal_15_settlement_title;coal Settlement;x
coal_1_settlement_desc;Settle the coal.;x
coal_2_settlement_desc;Settle the coal.;x
coal_3_settlement_desc;Settle the coal.;x
coal_4_settlement_desc;Settle the coal.;x
coal_5_settlement_desc;Settle the coal.;x
coal_6_settlement_desc;Settle the coal.;x
coal_7_settlement_desc;Settle the coal.;x
coal_8_settlement_desc;Settle the coal.;x
coal_9_settlement_desc;Settle the coal.;x
coal_10_settlement_desc;Settle the coal.;x
coal_11_settlement_desc;Settle the coal.;x
coal_12_settlement_desc;Settle the coal.;x
coal_13_settlement_desc;Settle the coal.;x
coal_14_settlement_desc;Settle the coal.;x
coal_15_settlement_desc;Settle the coal.;x
iron_1_settlement_title;iron Settlement;x
iron_2_settlement_title;iron Settlement;x
iron_3_settlement_title;iron Settlement;x
iron_4_settlement_title;iron Settlement;x
iron_5_settlement_title;iron Settlement;x
iron_6_settlement_title;iron Settlement;x
iron_7_settlement_title;iron Settlement;x
iron_8_settlement_title;iron Settlement;x
iron_9_settlement_title;iron Settlement;x
iron_10_settlement_title;iron Settlement;x
iron_11_settlement_title;iron Settlement;x
iron_12_settlement_title;iron Settlement;x
iron_13_settlement_title;iron Settlement;x
iron_14_settlement_title;iron Settlement;x
iron_15_settlement_title;iron Settlement;x
iron_1_settlement_desc;Settle the iron.;x
iron_2_settlement_desc;Settle the iron.;x
iron_3_settlement_desc;Settle the iron.;x
iron_4_settlement_desc;Settle the iron.;x
iron_5_settlement_desc;Settle the iron.;x
iron_6_settlement_desc;Settle the iron.;x
iron_7_settlement_desc;Settle the iron.;x
iron_8_settlement_desc;Settle the iron.;x
